timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1643568366379,13,POST /api/pettypes,201,,PET CLINIC SUITES 1-1,true,,400,1,1,13,1,0,EN719411
1643568366392,6,GET /api/pettypes,200,,PET CLINIC SUITES 1-1,true,,25455,1,1,6,1,0,EN719411
1643568366408,5,PUT /api/pettypes/4785,204,,PET CLINIC SUITES 1-1,true,,282,1,1,0,1,0,EN719411
1643568366413,3,GET /api/pettypes/4785,200,,PET CLINIC SUITES 1-1,true,,353,1,1,3,1,0,EN719411
1643568366418,5,POST /api/owners,201,,PET CLINIC SUITES 1-1,true,,522,1,1,5,1,0,EN719411
1643568366423,10,GET /api/owners,200,,PET CLINIC SUITES 1-1,true,,23902,1,1,10,1,0,EN719411
1643568366436,4,GET /api/owners/*/lastname/Testev4059,200,,PET CLINIC SUITES 1-1,true,,465,1,1,4,1,0,EN719411
1643568366442,4,PUT /api/owners/5189,204,,PET CLINIC SUITES 1-1,true,,282,1,1,0,1,0,EN719411
1643568366446,3,GET /api/owners/5189,200,,PET CLINIC SUITES 1-1,true,,479,1,1,3,1,0,EN719411
1643568366451,4,POST /api/pets,201,,PET CLINIC SUITES 1-1,true,,630,1,1,4,1,0,EN719411
1643568366456,10,GET /api/pets,200,,PET CLINIC SUITES 1-1,true,,15967,1,1,10,1,0,EN719411
1643568366470,4,PUT /api/pets/5189,204,,PET CLINIC SUITES 1-1,true,,282,1,1,0,1,0,EN719411
1643568366474,3,GET /api/pets/5189,200,,PET CLINIC SUITES 1-1,true,,591,1,1,3,1,0,EN719411
1643568366479,3,POST /api/specialties,201,,PET CLINIC SUITES 1-1,true,,410,1,1,3,1,0,EN719411
1643568366482,7,GET /api/specialties,200,,PET CLINIC SUITES 1-1,true,,48120,1,1,6,1,0,EN719411
1643568366496,3,PUT /api/specialties/4452,204,,PET CLINIC SUITES 1-1,true,,282,1,1,0,1,0,EN719411
1643568366499,4,GET /api/specialties/4452,200,,PET CLINIC SUITES 1-1,true,,361,1,1,4,1,0,EN719411
1643568366505,3,POST /api/vets,201,,PET CLINIC SUITES 1-1,true,,471,1,1,3,1,0,EN719411
1643568366509,8,GET /api/vets,200,,PET CLINIC SUITES 1-1,true,,16194,1,1,8,1,0,EN719411
1643568366522,3,PUT /api/vets/1275,204,,PET CLINIC SUITES 1-1,true,,282,1,1,0,1,0,EN719411
1643568366525,3,GET /api/vets/1275,200,,PET CLINIC SUITES 1-1,true,,453,1,1,3,1,0,EN719411
1643568366530,4,POST /api/visits,201,,PET CLINIC SUITES 1-1,true,,714,1,1,4,1,0,EN719411
1643568366534,6,GET /api/visits,200,,PET CLINIC SUITES 1-1,true,,7273,1,1,6,1,0,EN719411
1643568366543,4,PUT /api/visits/5130,204,,PET CLINIC SUITES 1-1,true,,282,1,1,0,1,0,EN719411
1643568366548,3,GET /api/visits/5130,200,,PET CLINIC SUITES 1-1,true,,672,1,1,3,1,0,EN719411
1643568366553,3,DELETE /api/visits/5130,204,,PET CLINIC SUITES 1-1,true,,236,1,1,0,1,0,EN719411
1643568366557,3,DELETE /api/pets/5189,204,,PET CLINIC SUITES 1-1,true,,236,1,1,0,1,0,EN719411
1643568366560,3,DELETE /api/owners/5189,204,,PET CLINIC SUITES 1-1,true,,236,1,1,0,1,0,EN719411
1643568366563,4,DELETE /api/pettypes/4785,204,,PET CLINIC SUITES 1-1,true,,236,1,1,0,1,0,EN719411
